PopulationID,Euploid_Count,Mosaic_Low_Count,Mosaic_High_Count,Aneuploid_Count,ChiSquaredStatistic,ChiSquaredPValue
1,3900,3483,382,4095,2345.204445,0
2,3992,3397,380,4091,2221.137051,0
3,4044,3358,369,4089,2162.718223,0
4,4083,3357,328,4092,2154.039269,0
5,4150,3311,309,4090,2088.941463,0
6,4553,2943,273,4091,1623.848588,0
7,4624,2905,243,4088,1585.539628,0
8,4585,2919,266,4090,1596.216211,0
9,4664,2882,226,4088,1565.25387,0
10,4689,2837,245,4089,1505.614687,0
11,4678,2830,262,4090,1492.500972,2.47032822920623e-323
12,5059,2485,227,4089,1128.19892,2.77481864162945e-244
13,5094,2506,171,4089,1188.674712,2.10088546470903e-257
14,5195,2407,170,4088,1089.577431,6.64100969957502e-236
15,5222,2374,175,4089,1052.918101,5.96058253419141e-228
16,5377,2248,147,4088,960.356901,7.15742047290817e-208
17,5449,2166,156,4089,876.2350004,1.26395725850428e-189
18,5420,2224,127,4089,962.1983112,2.85308346862158e-208
19,5415,2207,149,4089,920.7423514,2.80426336911061e-199
20,5621,2046,105,4088,836.7853858,4.55121525585853e-181
21,5771,1899,102,4088,722.9700647,2.19353644549844e-156
22,5791,1859,122,4088,662.9222073,2.29930566816184e-143
23,5899,1769,104,4088,623.1092954,9.85038443163787e-135
24,5996,1701,75,4088,625.6278567,2.8017389706138e-135
25,6109,1549,114,4088,462.6837026,5.82141174260668e-100
26,6173,1510,89,4088,480.4973158,8.03563453208878e-104
27,6214,1496,62,4088,524.0031067,2.99643300354835e-113
28,6259,1439,74,4088,468.898243,2.62085429133433e-101
29,6369,1339,64,4088,439.1249284,7.40377351386016e-95
30,6281,1424,66,4089,476.8909383,4.85854184194484e-103
